Committee(s) (modern name as of 2020),Subcommittee(s) (name at time of hearing),Title,Link,Hearing Date,Sortable Hearing Date,Chamber,Majority,Topic areas,Description,Event,ID,Witness 1,Witness 1 Federal Employee?,Witness 2,Witness 2 Federal Employee?,Witness 3,Witness 3 Federal Employee?,Witness 4,Witness 4 Federal Employee?,Witness 5,Witness 5 Federal Employee?,Witness 6,Witness 6 Federal Employee?,Witness 7,Witness 7 Federal Employee?,Witness 8,Witness 8 Federal Employee?,Witness 9,Witness 9 Federal Employee?,Witness 10,Witness 10 Federal Employee?,Witness 11,Witness 11 Federal Employee?,Witness 12,Witness 12 Federal Employee?,Witness 13,Witness 13 Federal Employee?,Witness 14,Witness 14 Federal Employee?,Witness 15,Witness 15 Federal Employee?,Witness 16,Witness 16 Federal Employee?
House Committee on Homeland Security (US),,Beyond Readiness: An Examination of the Current Status and Future Outlook of the National Response to Pandemic Influenza,https://www.govinfo.gov/app/details/CHRG-111hhrg53650/CHRG-111hhrg53650,"July 29, 2009",2009-07-29,House,D,Medical preparedness / emergency response,The House Committee on Homeland Security held a hearing to evaluate national response readiness for pandemic influenza. The Committee evaluated the Department of Homeland Security's response to H1N1 and determined what further action would need to be taken. Discussion emphasized the necessity of establishing clear leadership roles for future outbreak response.,2009 H1N1,731,Jane Holl Lute,1,William Corr,1,Bernice Steinhardt,1,Richard Muth,0,Mark Horton,0,Thomas Farley,0,Colleen Kelley,0,,,,,,,,,,,,,,,,,,
House Committee on Oversight and Reform (US),Subcommittee on National Security,"U.S. Biodefense, Preparedness, and Implications of Antimicrobial Resistance for National Security",https://www.govinfo.gov/app/details/CHRG-116hhrg37280/CHRG-116hhrg37280,"June 26, 2019",2019-06-26,House,D,Threat / risk awareness,The Committee on Oversight and Reform Subcommittee on National Security held a hearing to examine whether the United States was prepared to respond to biological threats to national security. Federal and non-federal witnesses discussed both naturally occurring outbreaks and biological attacks. The Subcommittee also looked at the growing trend in antimicrobial resistance (AMR) and how it could affect national security.,,747,Chris Currie,1,Helen Boucher,0,Asha George,0,Cham Dallas,0,,,,,,,,,,,,,,,,,,,,,,,,
House Committee on Oversight and Reform (US),"Subcommittee on National Security, Emerging Threats and International Relations","Elusive Antidotes: Progress Developing Chemical, Biological, and Nuclear (CBRN) Countermeasures",https://www.govinfo.gov/app/details/CHRG-109hhrg24084/CHRG-109hhrg24084,"June 14, 2005",2005-06-14,House,R,Medical preparedness / emergency response,"The House Committee on Government Reform Subcommittee on National Security, Emerging Threats, and International Relations held a hearing on medical countermeasures (MCM) for chemical, biological, radiological, and nuclear (CBRN) threats. Discussion noted that the BioShield MCM acquisition program was insufficient alone to accelerate the biodefense pipeline. Members and witnesses considered the necessity of strong leadership, coordination, and adherence to a threat-based strategy in order to ensure preparedness. ",,718,Dale Klein,1,Anthony Fauci,1,Stewart Simonson,1,John Vitko,1,Ronald Saldarini,0,Michael Hanna Jr.,0,James Davis,0,,,,,,,,,,,,,,,,,,
House Committee on Oversight and Reform (US),"Subcommittee on National Security, Emerging Threats, and International Relations",Anthrax Protection: Progress or Problems?,https://www.govinfo.gov/app/details/CHRG-109hhrg32438/CHRG-109hhrg32438,"May 9, 2006",2006-05-09,House,R,Medical preparedness / emergency response,"The House Committee on Government Reform Subcommittee on National Security, Emerging Threats, and International Relations held hearing on the effectiveness of federal efforts to develop medical countermeasures (MCM) against anthrax, as well as the capability of the nation's biosurveillance system to detect an anthrax attack. The Subcommittee heard testimony from federal officials. Conversation centered on challenges to Project BioShield's development of MCM and challenges to establishing a broad surveillance capability, with some focus on difficulties of coordination between government agencies.",,3353,Ellen Embrey,1,Jean Reed,1,Gerald Parker,1,Richard Besser,1,S. Elizabeth George,1,Dana Tulis,1,Keith Rhodes,1,,,,,,,,,,,,,,,,,,
House Committee on Oversight and Reform (US),"Subcommittee on National Security, Veterans Affairs, and International Relations",DOD's Mandatory Anthrax Vaccine Immunization Program for Military Personnel,https://www.govinfo.gov/app/details/CHRG-106hhrg58959/CHRG-106hhrg58959,"April 29, 1999",1999-04-29,House,R,Medical preparedness / emergency response,"The House Committee on Government Reform Subcommittee on National Security, Veterans Affairs, and International Relations held a hearing to examine the U.S. Department of Defense's anthrax vaccine program. The hearing looked in particular at findings of a General Accounting Office report on the safety and efficacy of the vaccine for military personnel. Federal and non-federal witnesses testified and spoke to anthrax vaccine issues of relevance to medical preparedness in the military more generally.",,3331,Kwai-Cheung Chan,1,Meryl Nass,0,Randi Martin-Allaire,0,Roberta Groll,0,David Churchill,0,Michael Shepard,0,Kathryn Zoon,1,Eddie Cain,1,Robert Myers,0,John Taylor,1,,,,,,,,,,,,
House Committee on Oversight and Reform (US),"Subcommittee on National Security, Veterans Affairs, and International Relations",Anthrax Vaccine Adverse Reactions,https://www.govinfo.gov/app/details/CHRG-106hhrg65673/CHRG-106hhrg65673,"July 21, 1999",1999-07-21,House,R,Medical preparedness / emergency response,"The House Committee on Government Reform Subcommittee on National Security, Veterans Affairs, and International Relations held a hearing to examine anthrax vaccine adverse reactions. The Subcommittee invited federal and non-federal witnesses to explore evidence related to adverse events associated with vaccination of military personnel against anthrax. The hearing was an opportunity to examine force health protection for anthrax and the issues discussed were also relevant to medical preparedness for other biological threats.",,3333,Kwai-Cheung Chan,1,Robert Claypool,1,Frederick Gerber,1,Renata Engler,1,Susan Ellenberg,1,Michele Piel,1,Richard Rovet,1,Robert Saska,1,Jon Richter,1,John Jensen,1,,,,,,,,,,,,
House Committee on Oversight and Reform (US),"Subcommittee on National Security, Veterans Affairs, and International Relations",Chemical and Biological Defense: DoD Medical Readiness,https://www.govinfo.gov/app/details/CHRG-107hhrg82172/CHRG-107hhrg82172,"November 7, 2001",2001-11-07,House,R,Threat / risk awareness,"The House Committee Government Reform Subcommittee on National Security, Veterans Affairs, and International Relations held a hearing to examine the unique health threats posed by chemical and biological weapons. Witnesses from the Department of Defense addressed the General Accounting Office's recommendations for improvement in medical readiness. They also described contemporary and future planning to protect deployed forces from chemical and biological attacks. ",,854,Nancy Kingsbury,1,William Winkenwerder,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
House Committee on Oversight and Reform (US),,The SARS Threat: Is the Nation's Public Health Network Prepared for a Possible Epidemic?,https://www.govinfo.gov/app/details/CHRG-108hhrg87067/CHRG-108hhrg87067,"April 9, 2003",2003-04-09,House,R,Medical preparedness / emergency response,"The House Committee on Government Reform held a hearing on the public health system's response capabilities at the federal, state, and local levels. The Committee discussed whether the system was prepared for an emerging infectious disease based on the response to severe acute respiratory syndrome (SARS). Some of the discussion emphasized that current funding was insufficient and future investment in public health infrastructure would be needed.",2003 SARS,707,Tommy Thompson,1,Janet Heinrich,1,Margaret Hamburg,0,David Goodfriend,0,Stephen Ostroff,1,,,,,,,,,,,,,,,,,,,,,,
House Committee on Oversight and Reform (US),,A Review of This Year's Flu Season: Does Our Public Health System Need a Shot in the Arm?,https://www.govinfo.gov/app/details/CHRG-108hhrg93723/CHRG-108hhrg93723,"February 12, 2004",2004-02-12,House,R,Medical preparedness / emergency response,"The House Committee on Government Reform held a hearing on the nation's response to the latest year of seasonal influenza, using the season to examine the nation's preparedness for a pandemic of natural or intentional origins. The Committee heard testimony from federal, state, local, and non-governmental witnesses. Conversation centered on routes of collaboration between health agencies at the federal, state, and local levels; shortages of medical countermeasures (in this case, a shortage of flu vaccine); ensuring vaccine uptake; hospital preparedness; and ways to improve all of these efforts.",,3351,Julie Gerberding,1,Anthony Fauci,1,Janet Heinrich,1,Robert Stroube,0,Karen Miller,0,Howard Pien,0,James Young,0,Shelley Hearne,0,,,,,,,,,,,,,,,,
House Committee on Oversight and Reform (US),,The Next Flu Pandemic: Evaluating U.S. Readiness,https://www.govinfo.gov/app/details/CHRG-109hhrg22808/CHRG-109hhrg22808,"June 30, 2005",2005-06-30,House,R,Medical preparedness / emergency response,"The House Committee on Government Reform held a hearing to evaluate U.S. ability to respond to the threat of a global influenza pandemic. Witnesses testified to federal government efforts and coordination among levels of government. Among other topics, discussion covered diagnostics for cases of avian influenza in poultry, vaccine preparedness, and medical surge capacity.",2005 H5N1,719,Marcia Crosse,1,Mary Selecky,0,Shelley Hearne,0,John Milligan,0,George Abercrombie,0,James LeDuc,1,Anthony Fauci,1,Bruce Gellin,1,,,,,,,,,,,,,,,,
House Committee on Oversight and Reform (US),,The National Pandemic Influenza Preparedness and Response Plan: Is the U.S. Ready for Avian Flu?,https://www.govinfo.gov/app/details/CHRG-109hhrg24820/CHRG-109hhrg24820,"November 4, 2005",2005-11-04,House,R,Strategic planning,"The House Committee on Government Reform held a hearing to examine the national plans for pandemic influenza preparedness and response. Members and witnesses discussed federal, state, and local preparedness for pandemic influenza, particularly in the context of an avian influenza they became transmissible to humans. Witnesses testified to gaps in the national strategy for pandemic influenza and suggested improvements.",2005 H5N1,870,Michael Leavitt,1,Julie Gerberding,1,Anthony Fauci,1,Bruce Gellin,1,William Raub,1,,,,,,,,,,,,,,,,,,,,,,
House Committee on Oversight and Reform (US),,Working Through an Outbreak: Pandemic Flu Planning and Continuity of Operations,https://www.govinfo.gov/app/details/CHRG-109hhrg28533/CHRG-109hhrg28533/contexthttps://www.govinfo.gov/app/details/CHRG-109hhrg28533/CHRG-109hhrg28533,"May 11, 2006",2006-05-11,House,R,Strategic planning,"The House Committee on Government Reform held a hearing on continuity of operations planning for a pandemic influenza outbreak. Discussion considered the national pandemic influenza strategy, with some noting that it provided insufficient support for state and local governments. Discussants noted that implementation of pandemic preparedness strategies was needed.",,725,John Agwunobi,1,Jeffrey Runge,1,Scott Kriens,0,Paul Kurtz,0,Alonzo Plough,0,Linda Springer,1,David Walker,1,,,,,,,,,,,,,,,,,,
House Committee on Oversight and Reform (US),,FEMA Preparedness in 2007 and Beyond,https://www.govinfo.gov/app/details/CHRG-110hhrg43332/CHRG-110hhrg43332,"July 31, 2007",2007-07-31,House,D,Medical preparedness / emergency response,"The House Committee on Oversight and Government Reform held a hearing on Federal Emergency Management Agency (FEMA) preparedness for disasters, including an influenza pandemic. The Committee heard testimony from witnesses from federal, state, and local governments and from others outside of government. Among many topics, conversation touched on FEMA's efforts to ensure medical surge capacity for disasters, and the likelihood that a disaster would put strain on an already strained health care system.",,3357,Albert Ashwood,0,Christopher Geldart,1,Dewayne West,0,Darrell Darnell,0,Kathleen Tierney,0,David Paulison,1,Terry Scherling,1,Matt Jadacki,1,,,,,,,,,,,,,,,,
House Committee on Oversight and Reform (US),,State and Local Pandemic Preparedness,https://www.govinfo.gov/app/details/CHRG-111hhrg54388/CHRG-111hhrg54388/contexthttps://www.govinfo.gov/app/details/CHRG-111hhrg54388/CHRG-111hhrg54388,"May 20, 2009",2009-05-20,House,D,Medical preparedness / emergency response,"The House Committee on Oversight and Government Reform held a hearing to evaluate state and local preparedness for pandemic influenza. The Committee received testimony from federal, state, local, and non-governmental witnesses. Members and witnesses discussed how communities could maintain an appropriate level of readiness to respond
to a pandemic influenza outbreak, and how federal authorities can assist them in counteracting local budget cuts. Much of the discussion put preparedness in the context of the H1N1 pandemic influenza outbreak.",2009 H1N1,730,Daniel Sosin,1,Guthrie Birkhead,0,Rex Archer,0,Terry Allan,0,Paul Jarris,0,,,,,,,,,,,,,,,,,,,,,,
House Committee on Oversight and Reform (US),,The Ebola Crisis: Coordination of a Multi-Agency Response,https://www.govinfo.gov/app/details/CHRG-113hhrg94053/CHRG-113hhrg94053/context,"October 24, 2014",2014-10-24,House,R,Medical preparedness / emergency response,"The House Committee on Oversight and Government Reform held a hearing to examine federal agency efforts to organize response to the West Africa Ebola outbreak. Conversation covered topics including ensuring healthcare worker safety, medical countermeasures, and hospital readiness. The Committee discussed how domestic actions during this outbreak may have damaged public trust in federal capabilities.",2014-2016 Ebola (West Africa),741,Nicole Lurie,1,Michael Lumpkin,1,James Lariviere,1,John Roth,1,Deborah Burger,0,Rabih Torbay,0,,,,,,,,,,,,,,,,,,,,
"House Committee on Science, Space, and Technology (US)",,"Fighting Flu, Saving Lives: Vaccine Science and Innovation",https://science.house.gov/hearings/fighting-flu-saving-lives-vaccine-science-and-innovation,"November 20, 2019",2019-11-20,House,D,Medical preparedness / emergency response,"The House Committee on Science, Space, and Technology held a hearing on advances in vaccine science, using influenza as a case study. The Committee discussed technology and data platforms that could accelerate vaccine development and improve vaccine efficacy. The Committee also discussed how to communicate vaccine safety to the public and to advance partnerships for vaccine deployment. ",,748,Daniel Jernigan,1,Anthony Fauci,1,Sharon Watkins,0,Robin Robinson,0,,,,,,,,,,,,,,,,,,,,,,,,
House Committee on Small Business (US),,The Challenges of the 2009: H1N1 Influenza and its Potential Impact on Small Businesses and Healthcare Providers,https://www.govinfo.gov/app/details/CHRG-111hhrg52260/CHRG-111hhrg52260,"September 9, 2009",2009-09-09,House,D,Other,"The House Committee on Small Business held a hearing to evaluate the impact of the 2009 H1N1 influenza outbreak on small businesses. Testimony was heard from federal and private witnesses who explored the unique challenges small businesses faced during the pandemic and how the federal government could alleviate economic pressures. One witness raised the question of whether business closure decisions would be the decision of federal, state, or local governments, or the businesses themselves.",2009 H1N1,732,Rebecca Blank,1,Anne Schuchat,1,Bridger McGaw,1,Anthony Demangone,0,Jim King,0,Harold Jackson,0,David Tayloe Jr.,0,Mary Kay Thatcher,0,,,,,,,,,,,,,,,,
House Committee on Transportation and Infrastructure (US),Subcommittee on Aviation,Efforts to Prevent Pandemics by Air Travel,https://www.govinfo.gov/app/details/CHRG-109hhrg21630/CHRG-109hhrg21630,"April 6, 2005",2005-04-06,House,R,Surveillance / detection,"The House Committee on Transportation and Infrastructure Subcommittee on Aviation held a hearing on air travel pandemic preparedness. Testimony was heard from federal and non-federal witnesses. Among other topics, discussion addressed the value in surveilling the traveling population for infectious disease, international reporting of detected outbreaks, and development of advanced detection technologies for individual aircraft.",,715,Ronald Brown,0,Mark Gendreau,0,Jon Jordan,1,Michael McCawley,0,John Meenan,0,Anne Schuchat,1,,,,,,,,,,,,,,,,,,,,
House Committee on Transportation and Infrastructure (US),"Subcommittee on Oversight, Investigations, and Emergency Management",Preparedness Against Terrorist Attacks,https://www.google.com/books/edition/Preparedness_Against_Terrorist_Attacks/YduO0nyGdVQC?hl=en&gbpv=1,"June 9, 1999",1999-06-09,House,R,Medical preparedness / emergency response,"The House Committee on Transportation and Infrastructure Subcommittee on Oversight, Investigations and Emergency Management held a hearing on preparedness against terrorist attacks. The hearing covered medical preparedness elements like the Metropolitan Medical Response System, National Medical Response Teams, military medical reserve components, and medical countermeasures. Federal and non-federal witnesses provided testimony.",,3332,Charles Cragin,1,John Eversole,0,Mark Gebicke,1,Catherine Light,1,Barbara Martinez,1,Ann Simank,0,,,,,,,,,,,,,,,,,,,,
House Committee on Veterans' Affairs (US),Subcommittee on Health,Ten Years After: Lessons from the Gulf War,https://www.govinfo.gov/app/details/CHRG-107hhrg87941/CHRG-107hhrg87941,"January 24, 2002",2002-01-24,House,R,Medical preparedness / emergency response,"The Subcommittee on Health held a hearing on operational and medical readiness in the Active Duty Forces. The subcommittee discussed the chemical and biological health risks many veterans experienced due to the Gulf War, and the fact that many forces experiencing problems suffered from a bacterial infection. Members discussed failures in Gulf War policy and necessary improvements to protect future generations. ",,705,Frances Murphy,1,Ellen Embrey,1,Warren Rudman,0,Donald Riegle,0,Sue Bailey,0,Patrick Eddington,0,Paul Hayden,0,James Holsinger,0,Enrique Mendez,0,Garth Nicolson,0,Steve Robinson,0,,,,,,,,,,
House Committee on Veterans' Affairs (US),Subcommittee on Health,Military Medical Surveillance System Challenges,https://books.google.com/books?id=ML7D5OoIvlkC,"February 27, 2002",2002-02-27,House,R,Surveillance / detection,The House Committee on Veterans' Affairs Subcommittee on Health held a hearing to consider issues of operational and medical readiness in the active duty forces and their relationships to the health status of the veteran population. Key witnesses from the Department of Defense (DoD) and General Accounting Office (GAO) testified to DoD policies and evaluated opportunities for improvement. Some of the testimony addressed the DoD's engagement in overseas infectious disease surveillance such as through the Global Emerging Infections Surveillance program.,,855,Cynthia Bascetta,1,Ellen Embrey,1,Frances Murphy,1,,,,,,,,,,,,,,,,,,,,,,,,,,
House Committee on Veterans' Affairs (US),Subcommittee on Oversight and Investigations,Department of Veterans Affairs' Flu Vaccination Program,https://www.govinfo.gov/app/details/CHRG-109hhrg25176/CHRG-109hhrg25176,"December 15, 2005",2005-12-15,House,R,Medical preparedness / emergency response,"The House Committee on Veterans' Affairs Subcommittee on Oversight and Investigations held a hearing on the Department of Veterans Affairs' (VA) influenza vaccination program. The Subcommittee sought information about VA preparations for a possible avian influenza pandemic in people. Members raised concerns about a lack of interagency collaboration between the VA and the Departments of Defense, Health and Human Services, and Homeland Security.",2005 H5N1,875,Lawrence Deyton,1,Robert Muder,1,Denise Cardo,1,,,,,,,,,,,,,,,,,,,,,,,,,,
House Committee on Veterans' Affairs (US),,Three Years After 9/11: Is VA Prepared to Fulfill Its Roles in Homeland Security?,https://www.govinfo.gov/app/details/CHRG-108hhrg98847/CHRG-108hhrg98847,"August 26, 2004",2004-08-26,House,R,Medical preparedness / emergency response,"The House Committee on Veteran's Affairs held a hearing on the Department of Veterans' Affairs (VA) medical preparedness for a chemical, radiological, biological, or nuclear (CRBN) attack. The Committee received testimony on VA readiness to respond a a biological attack, and made analogies to what would be needed in the event of an outbreak of pandemic influenza on the scale of the 1918 outbreak, or severe acute respiratory syndrome (SARS). Members discussed how Congress can help ensure that resources flow to the VA to enable it to protect its constituents from biological and other threats.",,711,Karl Hostetler,1,Neil Livingstone,0,Gordon Mansfield,1,Lester Martinez-Lopez,1,Jerry Mothershead,1,Stewart Simonson,1,,,,,,,,,,,,,,,,,,,,
"Senate Committee on Agriculture, Nutrition, and Forestry (US)",,The role of United States Agriculture in the Control and Eradication of Avian Influenza,https://www.govinfo.gov/app/details/CHRG-109shrg28423/CHRG-109shrg28423,"November 17, 2005",2005-11-17,Senate,R,Medical preparedness / emergency response,"The Senate Committee on Agriculture, Nutrition, and Forestry held a hearing to examine the role of the U.S. agriculture community in the control and eradication of avian influenza. Members additionally discussed the human healthcare system's preparedness, availability of antiviral drugs, and potential enhancement of quarantine stations. ",2005 H5N1,874,Ron DeHaven,1,Julie Gerberding,1,Donald Waldrip,0,S. H. Kleven,0,Gretta Irwin,0,,,,,,,,,,,,,,,,,,,,,,
"Senate Committee on Agriculture, Nutrition, and Forestry (US)",,To Review the United States Department of Agriculture National Response Plan to Detect and Control the Potential Spread of Avian Influenza Into the United States,https://www.govinfo.gov/app/details/CHRG-109shrg30240/CHRG-109shrg30240,"May 11, 2006",2006-05-11,Senate,R,Strategic planning,"The Senate Committee on Agriculture held a hearing to review the U.S. Department of Agriculture's plan to detect and stop the spread of highly pathogenic avian influenza among poultry in the United States. The committee heard testimony from the administrator of the Animal and Plant Health Inspection Service. Topics discussed included the planned role of the USDA, as well as that of state and local agencies and the private sector.",2005 H5N1,882,Ron DeHaven,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Senate Committee on Agriculture, Nutrition, and Forestry (US)",,Highly Pathogenic Avian Influenza: The Impact on the U.S. Poultry Sector and Protecting U.S. Poultry Flocks,https://www.govinfo.gov/app/details/CHRG-114shrg96181/CHRG-114shrg96181,"July 7, 2015",2015-07-07,Senate,R,Other,"The Senate Committee on Agriculture, Nutrition, and Forestry held a hearing to discuss the U.S. poultry outbreak of highly pathogenic avian influenza (HPAI). The committee heard from officials within the Department of Agriculture (USDA) and individuals from the agricultural industry. Topics discussed included the magnitude of the threat to U.S. poultry, the response of the U.S. government and agricultural industry to the outbreak, and areas of potential improvement in responding to this and future HPAI outbreaks.",,918,John Clifford,1,David Swayne,1,Jim Dean,0,Ken Klippen,0,Brad Moline,0,Rob Knecht,0,Tom Elam,0,,,,,,,,,,,,,,,,,,
"Senate Committee on Agriculture, Nutrition, and Forestry (US)",,Safeguarding American Agriculture in a Globalized World,https://www.govinfo.gov/app/details/CHRG-115shrg32792/CHRG-115shrg32792,"December 13, 2017",2017-12-13,Senate,R,Other,"The Senate Committee on Agriculture, Nutrition, and Forestry held a hearing to examine threats to American agriculture from pathogens and other biological events, including highly pathogenic avian influenza (HPAI). The Committee heard testimony from multiple experts outside of the federal government. Conversation touched on the magnitude of biological threats to agriculture, fruitful areas for investment of federal resources, and the importance of coordination among levels of U.S. government to address those threats.",,929,Joseph Lieberman,0,R. Douglas Meckes,0,Richard Myers,0,Raymond Hammerschmidt,0,,,,,,,,,,,,,,,,,,,,,,,,
Senate Committee on Appropriations (US),"Subcommittee on Departments of Labor, Health and Human Services, and Education, and Related Agencies",Ebola Outbreak in the Democratic Republic of the Congo and Other Emerging Health Threats,https://www.govinfo.gov/app/details/CHRG-116shrg99104878/CHRG-116shrg99104878,"March 14, 2019",2019-03-14,Senate,R,Medical preparedness / emergency response,"The Senate Committee on Appropriations Subcommittee on Labor, Health and Human Services, Education, and Related Agencies held a hearing to examine funding needs to address the Ebola outbreak in the Democratic Republic of the Congo (DRC) and other emerging health threats. The Subcommittee heard testimony from senior government officials on steps being taken to improve preparedness for health emergencies domestically and abroad. The conversation touched on funding for the Centers for Disease Control and Prevention, the U.S. Agency for International Development, the National Institute of Allergy and Infectious Diseases, Public Health Emergency Preparedness program grants to states, the Biomedical Advanced Research and Development Authority, and the implementation of the Global Health Security Agenda.",2018-2020 Ebola (DRC),936,Robert Kadlec,1,Robert Redfield,1,Anthony Fauci,1,R. Timothy Ziemer,1,,,,,,,,,,,,,,,,,,,,,,,,
Senate Committee on Appropriations (US),Subcommittee on Homeland Security,Biodefense and Pandemic Influenza,https://www.govinfo.gov/app/details/CHRG-109shrg30717/CHRG-109shrg30717,"May 23, 2006",2006-05-23,Senate,R,Medical preparedness / emergency response,"The Senate Committee on Appropriations Subcommittee on Homeland Security held a hearing on the U.S. government's efforts to prepare for pandemic influenza and biological attacks. The committee heard from multiple experts from outside the federal government. Discussion centered on ways the U.S. could improve preparedness, including by clearly establishing which organizations and officials will lead a health emergency response, improving disease surveillance activities, and streamlining the development of medical countermeasures.",,884,John Clerici,0,Frank Cilluffo,0,Scott Lillibridge,0,Paul Offit,0,,,,,,,,,,,,,,,,,,,,,,,,
Senate Committee on Appropriations (US),"Subcommittee on Labor, Health and Human Services, and Education",First Special Hearing on Bioterrorism,https://www.govinfo.gov/app/details/CHRG-107shrg77048/CHRG-107shrg77048,"October 3, 2001",2001-10-03,Senate,D,Medical preparedness / emergency response,"The Senate Committee on Appropriations Subcommittee on Labor, Health and Human Services, and Education, and Related Agencies held a series of four hearings to assess ways to improve preparedness for and prevention of biological attacks, following the recent anthrax attacks. In this, the first hearing (see pages 1-92), the Subcommittee heard testimony from senators, the Secretary of Health and Human Services, and experts outside of the federal government including state and local health officials. The Subcommittee discussed the need for investment in public health preparedness at all levels of government, including for improved disease surveillance, laboratory systems, medical surge capacity, development of medical countermeasures, and storage and deployment of countermeasures from the National Pharmaceutical Stockpile (later renamed the Strategic National Stockpile).",2001 Anthrax attacks (Amerithrax),851,Edward Kennedy,0,Bill Frist,0,Chuck Hagel,0,John Edwards,0,Tommy Thompson,1,Jonathan Tucker,0,Stephen Cantrill,0,Jerome Hauer,0,Patricia Quinlisk,0,Rex Archer,0,,,,,,,,,,,,
Senate Committee on Appropriations (US),"Subcommittee on Labor, Health and Human Services, Education, and Related Agencies",Preparedness for Epidemics and Bioterrorism,https://www.govinfo.gov/app/details/CHRG-105shrg50023/CHRG-105shrg50023,"June 2, 1998",1998-06-02,Senate,R,Medical preparedness / emergency response,"The Senate Committee on Appropriations Subcommittee on Labor, Health and Human Services, Education, and Related Agencies held a hearing to examine the public health response to disease outbreaks caused by biological and chemical terrorism. The Subcommittee focused on the system of public health surveillance and control at federal, state, and local levels. Members also discussed certain terrorist incidents involving biological agents. ",,846,James Hughes,1,Richard Jackson,1,Robert Knouss,1,Ralph Morris,0,Michael Osterholm,0,Edward Thompson,0,Luther Fincher,0,,,,,,,,,,,,,,,,,,
Senate Committee on Appropriations (US),"Subcommittee on Labor, Health and Human Services, Education, and Related Agencies",Second Special Hearing on Bioterrorism,https://www.govinfo.gov/app/details/CHRG-107shrg77048/CHRG-107shrg77048,"October 28, 2001",2001-10-28,Senate,D,Medical preparedness / emergency response,"The Senate Committee on Appropriations Subcommittee on Labor, Health and Human Services, Education, and Related Agencies held a series of four hearings to assess ways to improve preparedness for and prevention of biological attacks, following the recent anthrax attacks. In this, the second hearing (see pages 93-154), the Subcommittee heard testimony from experts from within and outside of the federal government. The Subcommittee discussed appropriate levels of funding for various aspects of preparedness, including funding for public health agencies, improved hospital surge capacity, more thorough disease surveillance, and acquisition of medical countermeasures, including the smallpox vaccine.",2001 Anthrax attacks (Amerithrax),3324,Jeffrey Koplan,1,James Caruso,1,Bob Kramer,0,Mary Kuhn,0,Barbara Hunt,0,Hilary Koprowski,0,Thomas Monath,0,Mary Gilchrist,0,,,,,,,,,,,,,,,,
Senate Committee on Appropriations (US),"Subcommittee on Labor, Health and Human Services, Education, and Related Agencies",Third Special Hearing on Bioterrorism,https://www.govinfo.gov/app/details/CHRG-107shrg77048/CHRG-107shrg77048,"November 2, 2001",2001-11-02,Senate,D,Medical preparedness / emergency response,"The Senate Committee on Appropriations Subcommittee on Labor, Health and Human Services, Education, and Related Agencies held a series of four hearings to assess ways to improve preparedness for and prevention of biological attacks, following the recent anthrax attacks. In this, the third hearing (which focused specifically on smallpox; see pages 155-200), the Subcommittee heard testimony from senior Department of Health and Human services officials and individuals from outside of the federal government. Discussion centered on the magnitude of the threat of a smallpox attack, the value of vaccination to prevent smallpox, the feasible routes toward building a smallpox vaccine stockpile, and the value of public health investment to improve public health preparedness.",2001 Anthrax attacks (Amerithrax),3325,Anthony Fauci,1,James LeDuc,1,Michael Friedman,0,Anita Barry,0,,,,,,,,,,,,,,,,,,,,,,,,
Senate Committee on Appropriations (US),"Subcommittee on Labor, Health and Human Services, Education, and Related Agencies",Fourth Special Hearing on Bioterrorism,https://www.govinfo.gov/app/details/CHRG-107shrg77048/CHRG-107shrg77048,"November 29, 2001",2001-11-29,Senate,D,Medical preparedness / emergency response,"The Senate Committee on Appropriations Subcommittee on Labor, Health and Human Services, Education, and Related Agencies held a series of four hearings to assess ways to improve preparedness for and prevention of biological attacks, following the recent anthrax attacks. In this, the fourth hearing (see pages 201-255), the Subcommittee heard testimony from senior Department of Health and Human services officials and individuals from outside the federal government. Those present discussed the optimal funding levels for building up public health emergency preparedness, including for general strengthening of public health agencies, increasing lab capacity, improving disease surveillance, and accelerating the development of medical countermeasures.",2001 Anthrax attacks (Amerithrax),3326,Jeffrey Koplan,1,Anthony Fauci,1,Ken Alibek,0,Joseph Barbera,0,Joseph LeValley,0,,,,,,,,,,,,,,,,,,,,,,
Senate Committee on Appropriations (US),"Subcommittee on Labor, Health and Human Services, Education, and Related Agencies",Global HIV/AIDS and Severe Acute Respiratory Syndrome (SARS),https://www.govinfo.gov/app/details/CHRG-108shrg88510/CHRG-108shrg88510,"April 8, 2003",2003-04-08,Senate,R,Medical preparedness / emergency response,"The Senate Committee on Appropriations Subcommittee on Labor, Health and Human Services, and Education held a special hearing to examine the global AIDS crisis and the recent emergence of severe acute respiratory syndrome (SARS). With respect to SARS, witnesses presented strategies the United States had taken to mitigate spread of SARS, focusing on travel restrictions and screenings.",2003 SARS,860,Julie Gerberding,1,Elias Zerhouni,1,Anthony Fauci,1,,,,,,,,,,,,,,,,,,,,,,,,,,
